0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
0,1
8,1
1,1
9,1
10,1
11,1
12,1
13,1
14,1
5,1
7,1
4,1
15,1
6,1
16,1
17,1
0,2
18,2
1,2
17,2
9,2
19,2
7,2
4,2
2,2
5,2
5,3
4,362
1,362
2,362
5,362
20,363
21,363
13,363
22,363
4,364
23,364
5,364
7,365
5,365
5,366
24,367
4,368
1,368
5,368
5,369
22,370
13,370
17,370
7,370
10,370
4,371
5,371
5,372
21,373
25,374
12,374
1,374
17,374
9,374
26,374
4,374
15,374
5,375
5,376
5,377
5,378
27,379
1,380
12,380
13,380
9,380
28,382
1,382
17,382
5,382
21,383
5,384
1,385
29,385
12,385
13,385
27,385
16,385
30,385
1,386
17,386
5,386
6,386
7,386
31,386
4,387
1,387
5,387
4,388
5,388
4,389
1,389
5,389
4,390
1,390
9,390
5,390
4,391
5,391
4,392
1,392
22,392
5,392
12,393
9,393
5,393
5,394
12,395
13,395
9,395
5,395
9,396
5,396
4,397
5,397
5,398
5,399
5,400
5,402
5,403
12,404
13,404
9,404
4,405
12,405
13,405
9,405
5,405
5,406
4,408
5,408
4,409
7,409
5,409
4,410
1,410
7,410
5,410
0,411
9,411
5,411
17,411
5,412
21,413
5,414
1,416
5,416
5,417
17,418
1,419
7,419
10,419
1,420
32,420
33,421
1,421
5,421
9,421
34,421
12,421
13,421
19,421
5,422
21,423
35,423
1,423
17,423
28,424
9,424
5,424
12,425
13,425
32,425
1,426
5,426
0,427
13,427
5,428
0,429
1,429
17,429
5,429
36,430
5,430
4,431
5,431
21,432
37,432
1,432
17,432
9,432
10,432
23,432
12,432
13,432
38,432
0,433
4,433
1,433
5,433
5,434
4,435
1,435
9,435
5,435
5,436
12,437
13,437
9,437
5,438
5,439
4,440
35,440
7,440
10,440
1,441
12,441
13,441
9,441
5,441
5,442
21,443
1,443
22,443
9,443
12,443
13,443
5,444
5,445
5,446
4,447
1,447
5,447
39,448
40,448
17,448
10,448
20,448
4,448
7,448
0,449
4,449
1,449
5,449
5,450
5,451
5,452
5,453
5,454
20,455
39,455
22,455
1,456
5,456
5,457
9,458
5,458
12,459
13,459
9,459
5,460
4,461
1,461
9,461
5,461
5,462
0,463
36,463
1,463
10,463
12,463
13,463
5,463
22,463
41,463
15,463
16,463
42,463
9,463
7,463
24,463
43,463
27,463
19,463
32,463
4,463
44,463
17,463
5,464
5,465
5,466
3,466
13,467
1,468
22,468
5,468
4,469
9,469
5,469
15,470
7,470
5,470
36,471
1,471
29,471
10,471
12,471
13,471
45,471
46,471
21,471
47,471
48,471
17,471
49,471
50,471
15,471
28,471
7,471
30,471
51,471
42,471
37,471
52,471
9,471
53,471
20,471
24,471
54,471
16,471
32,471
4,471
23,471
8,471
22,471
22,472
5,472
5,473
4,474
1,474
5,474
1,475
9,475
1,476
2,476
7,476
4,476
5,476
19,476
22,477
4,478
5,478
5,479
1,480
17,480
9,480
4,480
12,480
13,480
5,480
22,480
13,481
1,481
22,481
5,481
9,481
32,482
4,483
1,483
52,483
5,483
4,484
28,484
5,484
39,485
22,485
55,486
41,486
5,486
4,486
5,487
5,488
5,489
4,490
56,490
16,490
5,490
57,490
5,491
20,492
22,492
1,493
19,493
9,493
12,493
13,493
58,493
5,493
1,494
9,494
10,494
12,494
13,494
45,494
5,494
21,494
22,494
4,494
6,494
7,494
27,495
5,496
4,497
57,497
4,498
1,498
17,498
5,498
4,499
5,499
1,500
5,500
0,501
4,501
5,501
59,502
4,502
1,502
14,502
5,502
15,503
1,503
5,503
1,504
5,504
5,505
13,507
5,507
5,508
35,509
1,509
4,509
34,509
60,509
5,509
5,510
4,511
9,511
5,511
6,511
5,512
12,513
61,514
1,514
17,514
5,514
4,514
13,515
9,515
4,516
1,516
5,516
